it,bt,km,transmission,ownerNo,oem,model,modelYear,price_in_lakhs,Insurance Validity,Fuel Type,Seats,Safety_count,top_features_count,Color,No of Cylinder,Turbo Charger,Super Charger,City,Power,Torque
0,Sedan,110000,Manual,1,Skoda,Skoda Rapid,2014,6.95,third party insurance,Diesel,5,20,9,Black,4.0,yes,no,Bangalore,103.52,250.0
0,SUV,37741,Manual,2,Ford,Ford Ecosport,2019,9.3,third party insurance,Petrol,5,29,9,White,3.0,no,no,Bangalore,120.69,149.0
0,Hatchback,17367,Manual,1,Maruti,Maruti Alto 800,2021,4.55,comprehensive,Petrol,5,17,9,Silver,3.0,no,no,Bangalore,47.33,69.0
0,SUV,94000,Manual,1,Hyundai,Hyundai Creta,2017,11.95,comprehensive,Diesel,5,24,9,Grey,4.0,yes,no,Bangalore,126.2,259.9
0,SUV,33700,Automatic,1,Tata,Tata Harrier,2021,21.75,comprehensive,Diesel,5,24,9,Grey,4.0,yes,no,Bangalore,167.67,350.0
0,Hatchback,54601,Manual,3,Maruti,Maruti Swift,2014,4.42,comprehensive,Petrol,5,26,9,White,4.0,no,no,Bangalore,88.5,113.0
0,Hatchback,110000,Manual,1,Maruti,Maruti Swift,2018,6.9,third party insurance,Diesel,5,26,9,Others,4.0,yes,no,Bangalore,74.0,190.0
0,Hatchback,64000,Manual,2,Maruti,Maruti Celerio,2017,5.0,third party,Petrol,5,21,9,Red,3.0,no,no,Bangalore,67.04,90.0
0,Sedan,40525,Automatic,1,BMW,BMW 3 Series GT,2016,33.95,comprehensive,Diesel,5,33,9,White,4.0,yes,no,Bangalore,188.0,400.0
0,Sedan,100000,Manual,1,Maruti,Maruti Ciaz,2015,6.5,third party insurance,Diesel,5,21,9,White,4.0,yes,no,Bangalore,88.5,200.0
0,Hatchback,44154,Automatic,2,Honda,Honda Jazz,2016,5.37,comprehensive,Petrol,5,22,9,White,4.0,no,no,Bangalore,88.7,110.0
0,MUV,70000,Manual,1,Renault,Renault Lodgy,2016,7.5,third party insurance,Diesel,7,24,9,White,4.0,yes,no,Bangalore,108.5,245.0
0,Sedan,79000,Automatic,1,Skoda,Skoda Octavia,2018,17.9,comprehensive,Petrol,5,31,9,White,4.0,yes,no,Bangalore,178.0,250.0
0,Hatchback,68039,Manual,2,Tata,Tata Tiago,2017,4.68,third party insurance,Petrol,5,22,9,Orange,3.0,no,no,Bangalore,84.0,114.0
0,Hatchback,60000,Manual,2,Maruti,Maruti Ritz,2014,4.2,third party insurance,Petrol,5,16,8,Silver,4.0,no,no,Bangalore,85.8,114.0
0,Hatchback,60000,Manual,2,Maruti,Maruti Ritz,2014,4.2,third party insurance,Petrol,5,16,8,Silver,4.0,no,no,Bangalore,85.8,114.0
0,Hatchback,10000,Manual,1,Hyundai,Hyundai i20,2021,9.2,third party insurance,Petrol,5,35,9,Others,3.0,yes,no,Bangalore,118.36,171.62
0,Sedan,49873,Manual,1,Honda,Honda City,2013,5.33,third party,Petrol,5,17,9,Yellow,4.0,no,no,Bangalore,116.3,146.0
0,Hatchback,90000,Automatic,3,Volkswagen,Volkswagen Polo,2013,8.5,third party insurance,Petrol,5,16,9,Others,4.0,yes,no,Bangalore,103.6,175.0
0,Sedan,48960,Manual,2,Skoda,Skoda Rapid,2017,7.51,third party insurance,Diesel,5,27,9,Silver,4.0,yes,no,Bangalore,108.6,250.0
